"Occupational Employment and Wage Statistics"

"Selection Criteria Used"
"Area:","Massachusetts"
"Time Period:","May 2023"
"Occupation:"," Total, All Occupations"

"SOC Code","Occupation Title","Employment","Median Annual","Mean Annual","Entry Annual","Experienced Annual","Typical education needed for entry"
="13-2051","Financial Analysts","16,840","$103,240","$127,760","$71,240","$155,590","Bachelor's degree"
="13-2052","Personal Financial Advisors","8,840","$99,930","$156,730","$67,180","$200,840","Bachelor's degree"
="13-2053","Insurance Underwriters","2,750","$98,030","$100,650","$66,840","$117,300","Bachelor's degree"
="13-2054","Financial Risk Specialists","1,400","$108,700","$120,540","$72,190","$144,360","Bachelor's degree"
="13-2061","Financial Examiners","1,230","$87,980","$98,390","$57,670","$118,450","Bachelor's degree"
="13-2071","Credit Counselors","750","$61,000","$65,620","$46,160","$75,200","Bachelor's degree"
="13-2072","Loan Officers","6,410","$96,940","$110,060","$62,470","$133,490","Bachelor's degree"
="13-2081","Tax Examiners and Collectors, and Revenue Agents","1,190","$68,270","$76,360","$51,940","$88,390","Bachelor's degree"
="13-2082","Tax Preparers","2,210","$61,230","$60,620","$39,830","$70,860","High school diploma or equivalent"
="13-2099","Financial Specialists, All Other","3,080","$82,830","$101,930","$61,170","$122,000","Bachelor's degree"
="15-0000","Computer and Mathematical Occupations","158,960","$121,650","$126,150","$74,430","$151,620","No formal educational credential"
="15-1211","Computer Systems Analysts","14,070","$111,890","$124,870","$82,140","$145,920","Bachelor's degree"
="15-1212","Information Security Analysts","4,770","$124,920","$129,500","$84,800","$151,520","Bachelor's degree"
="15-1221","Computer and Information Research Scientists","***","$170,020","$178,820","$129,880","$202,930","Master's degree"
="15-1231","Computer Network Support Specialists","1,920","$81,240","$90,640","$52,600","$109,380","Associate's degree"
="15-1232","Computer User Support Specialists","18,810","$73,810","$76,010","$50,810","$88,430","Some college, no degree"
="15-1241","Computer Network Architects","4,940","$153,200","$150,010","$98,300","$175,490","Bachelor's degree"
="15-1242","Database Administrators","2,220","$121,520","$117,870","$73,730","$139,600","Bachelor's degree"
="15-1243","Database Architects","1,650","$152,030","$152,850","$107,680","$175,090","Bachelor's degree"
="15-1244","Network and Computer Systems Administrators","7,480","$102,250","$106,220","$71,000","$123,570","Bachelor's degree"
="15-1251","Computer Programmers","4,120","$112,820","$114,450","$84,430","$129,230","Bachelor's degree"
="15-1252","Software Developers","59,960","$137,130","$146,580","$96,300","$171,350","Bachelor's degree"
="15-1253","Software Quality Assurance Analysts and Testers","6,400","$121,320","$118,720","$81,590","$137,010","Bachelor's degree"
="15-1254","Web Developers","***","$99,850","$96,010","$57,210","$115,120","Associate's degree"
="15-1255","Web and Digital Interface Designers","2,340","$107,010","$113,650","$71,420","$134,440","Associate's degree"
="15-1299","Computer Occupations, All Other","9,190","$111,640","$122,410","$66,080","$150,150","Bachelor's degree"
="15-2011","Actuaries","1,100","$135,000","$140,750","$87,630","$166,920","Bachelor's degree"
="15-2021","Mathematicians","10","$108,650","$133,620","$103,360","$148,530","Master's degree"
="15-2031","Operations Research Analysts","3,820","$90,160","$96,930","$63,190","$113,550","Bachelor's degree"
="15-2041","Statisticians","2,130","$84,820","$105,360","$71,770","$121,900","Master's degree"
="15-2051","Data Scientists","7,400","$121,560","$125,100","$78,680","$147,970","Master's degree"
="15-2099","Mathematical Science Occupations, All Other","40","$77,730","$73,590","$41,670","$89,300","Bachelor's degree"
="17-0000","Architecture and Engineering Occupations","73,420","$100,050","$105,940","$66,800","$125,210","No formal educational credential"
="17-1011","Architects, Except Landscape and Naval","4,830","$99,280","$106,550","$72,760","$123,200","Bachelor's degree"
="17-1012","Landscape Architects","240","$84,920","$89,500","$64,330","$101,890","Bachelor's degree"
="17-1021","Cartographers and Photogrammetrists","110","$91,540","$89,130","$67,450","$99,810","Bachelor's degree"
="17-1022","Surveyors","1,650","$82,250","$86,760","$68,480","$95,760","Bachelor's degree"
="17-2011","Aerospace Engineers","750","$136,860","$127,000","$77,450","$151,410","Bachelor's degree"
="17-2031","Biomedical Engineers","2,920","$102,490","$107,280","$78,350","$121,520","Bachelor's degree"
="17-2041","Chemical Engineers","1,200","$106,810","$117,910","$84,160","$134,540","Bachelor's degree"
="17-2051","Civil Engineers","8,640","$101,240","$108,320","$75,360","$124,550","Bachelor's degree"
="17-2061","Computer Hardware Engineers","3,720","$163,820","$158,070","$116,680","$178,450","Bachelor's degree"
="17-2071","Electrical Engineers","4,780","$125,470","$127,930","$83,860","$149,630","Bachelor's degree"
="17-2072","Electronics Engineers, Except Computer","2,760","$106,440","$115,570","$79,210","$133,470","Bachelor's degree"
="17-2081","Environmental Engineers","1,170","$107,550","$108,710","$76,740","$124,450","Bachelor's degree"
="17-2111","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","710","$114,170","$123,690","$82,780","$143,840","Bachelor's degree"
="17-2112","Industrial Engineers","11,370","$104,120","$112,290","$80,200","$128,100","Bachelor's degree"
="17-2121","Marine Engineers and Naval Architects","***","$88,900","$98,810","$83,680","$106,260","Bachelor's degree"
="17-2131","Materials Engineers","620","$107,260","$114,780","$82,810","$130,530","Bachelor's degree"
="17-2141","Mechanical Engineers","9,140","$108,490","$115,540","$78,380","$133,840","Bachelor's degree"
="17-2161","Nuclear Engineers","***","$156,000","$151,330","$135,210","$159,260","Bachelor's degree"
="17-2199","Engineers, All Other","3,180","$120,460","$122,420","$80,220","$143,200","Bachelor's degree"
="17-3011","Architectural and Civil Drafters","2,990","$67,900","$70,150","$50,390","$79,890","Associate's degree"
="17-3012","Electrical and Electronics Drafters","160","$70,310","$75,530","$49,550","$88,320","Associate's degree"
