"Occupational Employment and Wage Statistics"

"Selection Criteria Used"
"Area:","Massachusetts"
"Time Period:","May 2023"
"Occupation:"," Total, All Occupations"

"SOC Code","Occupation Title","Employment","Median Annual","Mean Annual","Entry Annual","Experienced Annual","Typical education needed for entry"
="27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators","80","$80,950","$81,010","$35,670","$103,330","Bachelor's degree"
="27-1014","Special Effects Artists and Animators","420","$81,840","$87,550","$61,370","$100,450","Bachelor's degree"
="27-1019","Artists and Related Workers, All Other","60","$84,260","$83,340","$54,290","$97,650","No formal educational credential"
="27-1021","Commercial and Industrial Designers","720","$86,420","$90,500","$61,110","$104,970","Bachelor's degree"
="27-1022","Fashion Designers","440","$98,620","$104,210","$68,320","$121,890","Bachelor's degree"
="27-1023","Floral Designers","1,080","$38,360","$42,470","$35,810","$45,750","High school diploma or equivalent"
="27-1024","Graphic Designers","4,930","$70,300","$74,490","$48,430","$87,320","Bachelor's degree"
="27-1025","Interior Designers","1,700","$76,920","$79,310","$54,960","$91,300","Bachelor's degree"
="27-1026","Merchandise Displayers and Window Trimmers","3,320","$38,860","$45,340","$33,370","$51,230","High school diploma or equivalent"
="27-1027","Set and Exhibit Designers","170","$50,560","$72,770","$40,020","$88,900","Bachelor's degree"
="27-1029","Designers, All Other","20","$93,630","$106,650","$69,150","$125,120","Bachelor's degree"
="27-2011","Actors","340","***","***","***","***","Some college, no degree"
="27-2012","Producers and Directors","4,490","$70,060","$87,050","$49,270","$105,660","Bachelor's degree"
="27-2021","Athletes and Sports Competitors","780","***","***","***","***","No formal educational credential"
="27-2022","Coaches and Scouts","6,100","$57,140","$72,420","$37,780","$89,480","Bachelor's degree"
="27-2023","Umpires, Referees, and Other Sports Officials","***","$51,950","$60,100","$31,960","$73,950","High school diploma or equivalent"
="27-2041","Music Directors and Composers","200","$79,210","$111,700","$46,360","$143,880","Bachelor's degree"
="27-2042","Musicians and Singers","630","***","***","***","***","No formal educational credential"
="27-3011","Broadcast Announcers and Radio Disc Jockeys","400","$51,510","$71,020","$39,590","$86,490","Bachelor's degree"
="27-3023","News Analysts, Reporters, and Journalists","1,000","$57,290","$81,360","$37,200","$103,100","Bachelor's degree"
="27-3031","Public Relations Specialists","7,960","$75,490","$85,370","$50,200","$102,700","Bachelor's degree"
="27-3041","Editors","3,320","$76,890","$82,580","$47,940","$99,640","Bachelor's degree"
="27-3042","Technical Writers","1,980","$100,860","$104,960","$69,980","$122,190","Bachelor's degree"
="27-3043","Writers and Authors","1,130","$75,140","$80,840","$47,790","$97,120","Bachelor's degree"
="27-3091","Interpreters and Translators","2,050","$58,310","$63,040","$43,560","$72,640","Bachelor's degree"
="27-3092","Court Reporters and Simultaneous Captioners","60","$76,880","$70,970","$52,770","$79,940","Bachelor's degree"
="27-3099","Media and Communication Workers, All Other","200","$47,150","$54,300","$38,890","$61,900","High school diploma or equivalent"
="27-4011","Audio and Video Equipment Technicians","1,460","$59,570","$61,190","$39,000","$72,120","Postsecondary non-degree award"
="27-4012","Broadcast Technicians","600","$48,880","$59,800","$35,690","$71,680","Associate's degree"
="27-4014","Sound Engineering Technicians","130","$59,280","$61,220","$43,820","$69,800","Postsecondary non-degree award"
="27-4015","Lighting Technicians","160","$73,880","$76,490","$45,740","$91,630","Postsecondary non-degree award"
="27-4021","Photographers","1,060","$49,550","$57,460","$37,820","$67,130","High school diploma or equivalent"
="27-4031","Camera Operators, Television, Video, and Motion Picture","800","$44,010","$59,200","$37,700","$69,790","Bachelor's degree"
="27-4032","Film and Video Editors","340","$67,340","$69,000","$43,610","$81,510","Bachelor's degree"
="27-4099","Media and Communication Equipment Workers, All Other","60","$98,450","$94,250","$48,700","$116,680","High school diploma or equivalent"
="29-0000","Healthcare Practitioners and Technical Occupations","246,530","$94,350","$115,850","$58,500","$144,090","No formal educational credential"
="29-1011","Chiropractors","640","$79,660","$92,850","$43,450","$117,190","Doctoral or professional degree"
="29-1021","Dentists, General","2,710","***","***","***","***","Doctoral or professional degree"
="29-1022","Oral and Maxillofacial Surgeons","480","***","$346,840","$233,960","***","Doctoral or professional degree"
="29-1029","Dentists, All Other Specialists","***","$230,030","$225,420","$209,560","$233,230","Doctoral or professional degree"
="29-1031","Dietitians and Nutritionists","2,340","$74,970","$76,120","$54,720","$86,660","Bachelor's degree"
="29-1041","Optometrists","970","$144,920","$142,680","$96,970","$165,200","Doctoral or professional degree"
="29-1051","Pharmacists","7,530","$135,200","$128,580","$93,700","$145,760","Doctoral or professional degree"
="29-1071","Physician Assistants","4,130","$135,720","$132,550","$78,210","$159,310","Master's degree"
="29-1081","Podiatrists","130","$172,740","$162,920","$86,370","$200,630","Doctoral or professional degree"
="29-1122","Occupational Therapists","5,280","$95,830","$94,340","$70,130","$106,260","Master's degree"
="29-1123","Physical Therapists","7,070","$100,470","$99,700","$74,890","$111,920","Doctoral or professional degree"
="29-1124","Radiation Therapists","380","$102,400","$120,240","$79,460","$140,320","Associate's degree"
="29-1125","Recreational Therapists","360","$53,980","$58,370","$40,680","$67,080","Bachelor's degree"
="29-1126","Respiratory Therapists","2,500","$86,700","$90,320","$71,810","$99,430","Associate's degree"
="29-1127","Speech-Language Pathologists","4,440","$97,320","$96,910","$68,530","$110,900","Master's degree"
="29-1128","Exercise Physiologists","150","$65,050","$69,530","$55,180","$76,600","Bachelor's degree"
="29-1129","Therapists, All Other","230","$61,520","$69,180","$47,930","$79,650","Bachelor's degree"
="29-1131","Veterinarians","1,740","$130,520","$162,030","$95,980","$194,560","Doctoral or professional degree"
="29-1141","Registered Nurses","87,320","$99,730","$108,850","$75,220","$125,410","Bachelor's degree"
="29-1151","Nurse Anesthetists","670","$235,000","$272,510","$205,320","$305,600","Master's degree"
="29-1161","Nurse Midwives","180","$144,540","$154,080","$123,420","$169,190","Master's degree"
="29-1171","Nurse Practitioners","8,060","$138,570","$144,010","$112,290","$159,630","Master's degree"
="29-1181","Audiologists","300","$102,070","$95,510","$65,190","$110,440","Doctoral or professional degree"
="29-1211","Anesthesiologists","1,880","***","***","***","***","Doctoral or professional degree"
="29-1212","Cardiologists","490","***","***","***","***","Doctoral or professional degree"
="29-1213","Dermatologists","630","***","***","***","***","Doctoral or professional degree"
="29-1214","Emergency Medicine Physicians","970","***","$307,520","$189,120","***","Doctoral or professional degree"
="29-1215","Family Medicine Physicians","3,530","$224,470","$266,010","$132,500","$331,770","Doctoral or professional degree"
="29-1216","General Internal Medicine Physicians","1,790","$228,650","$238,050","$73,640","$319,020","Doctoral or professional degree"
="29-1217","Neurologists","340","***","$238,390","$106,570","$303,310","Doctoral or professional degree"
="29-1218","Obstetricians and Gynecologists","740","$176,520","$218,850","$133,470","$260,890","Doctoral or professional degree"
="29-1221","Pediatricians, General","950","$204,310","$204,670","$120,500","$246,120","Doctoral or professional degree"
="29-1222","Physicians, Pathologists","390","***","$329,400","$159,660","***","Doctoral or professional degree"
="29-1223","Psychiatrists","1,190","$128,810","$178,640","$73,350","$230,500","Doctoral or professional degree"
="29-1224","Radiologists","3,300","***","$369,490","$262,580","***","Doctoral or professional degree"
="29-1229","Physicians, All Other","8,810","$224,580","$229,980","$74,620","$306,510","Doctoral or professional degree"
="29-1241","Ophthalmologists, Except Pediatric","310","***","$336,830","$185,830","***","Doctoral or professional degree"
="29-1249","Surgeons, All Other","880","$234,400","$267,480","$75,520","$362,030","Doctoral or professional degree"
="29-1292","Dental Hygienists","5,010","$100,750","$96,410","$84,380","$102,330","Associate's degree"
="29-1299","Healthcare Diagnosing or Treating Practitioners, All Other","690","$95,870","$99,730","$63,660","$117,490","Postsecondary non-degree award"
="29-2010","Clinical Laboratory Technologists and Technicians","13,050","$65,810","$70,270","$46,790","$81,840","No formal educational credential"
="29-2031","Cardiovascular Technologists and Technicians","1,230","$99,340","$103,570","$52,140","$128,900","Associate's degree"
="29-2032","Diagnostic Medical Sonographers","2,200","$98,610","$101,420","$84,100","$109,950","Associate's degree"
="29-2033","Nuclear Medicine Technologists","340","$103,480","$100,610","$81,440","$110,040","Associate's degree"
="29-2034","Radiologic Technologists and Technicians","5,140","$89,960","$93,270","$65,780","$106,810","Associate's degree"
="29-2035","Magnetic Resonance Imaging Technologists","2,520","***","***","***","***","Associate's degree"
="29-2036","Medical Dosimetrists","80","$130,900","$135,950","$113,700","$146,910","Associate's degree"
="29-2042","Emergency Medical Technicians","4,360","$45,920","$50,170","$37,790","$56,260","Postsecondary non-degree award"
="29-2043","Paramedics","1,760","$61,730","$66,620","$53,720","$72,970","Postsecondary non-degree award"
="29-2051","Dietetic Technicians","680","$39,090","$42,000","$35,420","$45,240","Associate's degree"
="29-2052","Pharmacy Technicians","9,840","$45,220","$46,450","$36,590","$51,310","High school diploma or equivalent"
="29-2053","Psychiatric Technicians","1,760","$46,580","$47,750","$37,320","$52,880","Postsecondary non-degree award"
="29-2055","Surgical Technologists","2,380","$67,840","$70,760","$49,420","$81,260","Postsecondary non-degree award"
="29-2056","Veterinary Technologists and Technicians","3,190","$48,060","$48,270","$37,910","$53,370","Associate's degree"
="29-2057","Ophthalmic Medical Technicians","2,070","$50,220","$54,360","$41,400","$60,750","Postsecondary non-degree award"
="29-2061","Licensed Practical and Licensed Vocational Nurses","13,890","$73,380","$73,400","$62,070","$78,980","Postsecondary non-degree award"
="29-2072","Medical Records Specialists","3,580","$52,330","$58,890","$42,210","$67,110","Postsecondary non-degree award"
="29-2081","Opticians, Dispensing","1,270","$63,850","$66,330","$50,220","$74,260","High school diploma or equivalent"
="29-2091","Orthotists and Prosthetists","240","$86,170","$87,260","$73,620","$93,980","Master's degree"
="29-2092","Hearing Aid Specialists","***","$61,210","$57,920","$39,130","$67,180","High school diploma or equivalent"
="29-2099","Health Technologists and Technicians, All Other","4,160","$55,180","$69,230","$43,840","$81,730","High school diploma or equivalent"
="29-9021","Health Information Technologists and Medical Registrars","700","$78,470","$85,740","$55,110","$100,830","Postsecondary non-degree award"
="29-9091","Athletic Trainers","610","$61,850","$66,550","$46,920","$76,220","Bachelor's degree"
="29-9092","Genetic Counselors","200","$95,890","$99,810","$72,470","$113,270","Master's degree"
="29-9093","Surgical Assistants","200","$55,640","$54,460","$39,710","$61,720","Postsecondary non-degree award"
="29-9099","Healthcare Practitioners and Technical Workers, All Other","380","$72,290","$75,520","$41,480","$92,280","Postsecondary non-degree award"
="31-0000","Healthcare Support Occupations","194,530","$37,910","$42,970","$36,540","$46,140","No formal educational credential"
="31-1120","Home Health and Personal Care Aides","113,730","$37,450","$38,550","$36,330","$39,650","High school diploma or equivalent"
="31-1131","Nursing Assistants","36,790","$44,200","$44,750","$37,620","$48,260","Postsecondary non-degree award"
="31-1132","Orderlies","1,420","$38,260","$40,610","$35,190","$43,270","High school diploma or equivalent"
="31-1133","Psychiatric Aides","1,020","$48,440","$50,010","$40,860","$54,510","High school diploma or equivalent"
="31-2011","Occupational Therapy Assistants","1,490","$72,160","$68,920","$54,500","$76,020","Associate's degree"
="31-2012","Occupational Therapy Aides","320","$42,650","$41,290","$32,150","$45,800","High school diploma or equivalent"
="31-2021","Physical Therapist Assistants","2,340","$75,160","$71,320","$57,770","$78,000","Associate's degree"
="31-2022","Physical Therapist Aides","910","$37,560","$40,740","$33,800","$44,160","High school diploma or equivalent"
="31-9011","Massage Therapists","2,430","$61,280","$66,990","$41,300","$79,650","Postsecondary non-degree award"
="31-9091","Dental Assistants","9,200","$58,860","$56,810","$45,640","$62,320","Postsecondary non-degree award"
="31-9092","Medical Assistants","16,260","$47,770","$48,570","$40,540","$52,520","Postsecondary non-degree award"
="31-9093","Medical Equipment Preparers","1,700","$49,570","$52,070","$39,610","$58,200","High school diploma or equivalent"
="31-9094","Medical Transcriptionists","560","$43,180","$44,400","$37,720","$47,680","Postsecondary non-degree award"
="31-9095","Pharmacy Aides","450","$37,480","$40,520","$34,790","$43,350","High school diploma or equivalent"
="31-9096","Veterinary Assistants and Laboratory Animal Caretakers","1,780","$44,450","$48,090","$36,540","$53,770","High school diploma or equivalent"
="31-9097","Phlebotomists","2,930","$47,220","$48,540","$40,840","$52,330","Postsecondary non-degree award"
="31-9099","Healthcare Support Workers, All Other","1,190","$49,900","$54,070","$39,500","$61,240","High school diploma or equivalent"
="33-0000","Protective Service Occupations","80,480","$64,060","$66,780","$39,100","$80,410","No formal educational credential"
="33-1011","First-Line Supervisors of Correctional Officers","340","$96,450","$95,490","$80,310","$102,970","High school diploma or equivalent"
="33-1012","First-Line Supervisors of Police and Detectives","5,810","$97,380","$107,960","$77,930","$122,760","High school diploma or equivalent"
="33-1021","First-Line Supervisors of Fire Fighting and Prevention Workers","2,690","$97,250","$101,700","$77,810","$113,470","Postsecondary non-degree award"
="33-1091","First-Line Supervisors of Security Workers","1,680","$48,720","$60,950","$45,260","$68,680","High school diploma or equivalent"
="33-1099","First-Line Supervisors of Protective Service Workers, All Other","350","$81,970","$73,530","$38,410","$90,830","High school diploma or equivalent"
="33-2011","Firefighters","11,770","$70,270","$72,330","$55,230","$80,760","Postsecondary non-degree award"
="33-2021","Fire Inspectors and Investigators","40","$70,100","$74,420","$47,090","$87,890","Postsecondary non-degree award"
="33-2022","Forest Fire Inspectors and Prevention Specialists","20","$82,010","$79,040","$64,480","$86,210","High school diploma or equivalent"
="33-3011","Bailiffs","830","$71,970","$72,560","$51,080","$83,140","High school diploma or equivalent"
="33-3012","Correctional Officers and Jailers","5,950","$78,810","$77,260","$62,490","$84,520","High school diploma or equivalent"
="33-3021","Detectives and Criminal Investigators","1,210","$101,540","$112,480","$75,010","$130,940","High school diploma or equivalent"
="33-3031","Fish and Game Wardens","30","$70,240","$63,370","$41,320","$74,230","Bachelor's degree"
="33-3041","Parking Enforcement Workers","420","$51,210","$56,400","$43,500","$62,750","High school diploma or equivalent"
="33-3051","Police and Sheriff's Patrol Officers","16,910","$75,700","$78,770","$59,010","$88,510","High school diploma or equivalent"
="33-9011","Animal Control Workers","330","$61,020","$58,980","$41,230","$67,720","High school diploma or equivalent"
="33-9021","Private Detectives and Investigators","630","$57,920","$64,150","$41,910","$75,100","High school diploma or equivalent"
="33-9031","Gaming Surveillance Officers and Gaming Investigators","50","$45,470","$51,840","$42,730","$56,320","High school diploma or equivalent"
="33-9032","Security Guards","23,700","$40,390","$44,310","$36,470","$48,160","High school diploma or equivalent"
="33-9091","Crossing Guards and Flaggers","1,430","$39,250","$44,350","$32,950","$49,970","No formal educational credential"
="33-9092","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","2,550","$35,190","$35,380","$32,240","$36,920","No formal educational credential"
="33-9093","Transportation Security Screeners","1,010","$65,980","$65,590","$55,120","$70,740","High school diploma or equivalent"
="33-9094","School Bus Monitors","1,810","$34,050","$35,120","$32,100","$36,610","Less than high school"
="33-9099","Protective Service Workers, All Other","910","$42,390","$50,850","$32,610","$59,840","High school diploma or equivalent"
="35-0000","Food Preparation and Serving Related Occupations","288,730","$35,990","$40,280","$32,690","$44,010","No formal educational credential"
="35-1011","Chefs and Head Cooks","4,470","$75,770","$77,120","$54,200","$88,400","High school diploma or equivalent"
="35-1012","First-Line Supervisors of Food Preparation and Serving Workers","26,390","$44,930","$49,150","$36,590","$55,330","High school diploma or equivalent"
="35-2011","Cooks, Fast Food","3,800","$36,880","$38,120","$34,610","$39,840","No formal educational credential"
="35-2012","Cooks, Institution and Cafeteria","8,100","$46,390","$46,730","$38,340","$50,860","No formal educational credential"
="35-2014","Cooks, Restaurant","31,620","$43,560","$43,420","$35,940","$47,110","No formal educational credential"
="35-2015","Cooks, Short Order","***","$39,890","$41,970","$35,680","$45,060","No formal educational credential"
="35-2019","Cooks, All Other","***","$57,420","$53,950","$38,320","$61,650","No formal educational credential"
="35-2021","Food Preparation Workers","15,230","$36,520","$39,010","$33,400","$41,780","No formal educational credential"
="35-3011","Bartenders","19,920","$34,970","$39,350","$31,550","$43,200","No formal educational credential"
="35-3023","Fast Food and Counter Workers","86,500","$34,840","$35,490","$32,130","$37,140","Less than high school"
="35-3031","Waiters and Waitresses","50,370","$35,070","$40,830","$32,160","$45,110","No formal educational credential"
="35-3041","Food Servers, Nonrestaurant","6,220","$35,770","$37,230","$32,910","$39,350","No formal educational credential"
="35-9011","Dining Room and Cafeteria Attendants and Bartender Helpers","8,660","$36,010","$38,520","$32,170","$41,650","No formal educational credential"
="35-9021","Dishwashers","11,930","$36,170","$37,270","$33,530","$39,110","No formal educational credential"
="35-9031","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","11,590","$35,310","$35,690","$31,880","$37,560","No formal educational credential"
="37-0000","Building and Grounds Cleaning and Maintenance Occupations","104,560","$44,160","$46,250","$34,950","$51,810","No formal educational credential"
="37-1011","First-Line Supervisors of Housekeeping and Janitorial Workers","3,770","$56,400","$58,440","$42,800","$66,140","High school diploma or equivalent"
="37-1012","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","3,290","$66,900","$71,480","$56,300","$78,950","High school diploma or equivalent"
="37-2011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","55,160","$38,950","$42,080","$34,150","$45,990","No formal educational credential"
="37-2012","Maids and Housekeeping Cleaners","15,210","$38,030","$41,700","$35,270","$44,860","No formal educational credential"
="37-2021","Pest Control Workers","1,560","$49,030","$53,790","$42,710","$59,240","High school diploma or equivalent"
="37-3011","Landscaping and Groundskeeping Workers","21,460","$46,600","$48,760","$37,850","$54,140","No formal educational credential"
="37-3012","Pesticide Handlers, Sprayers, and Applicators, Vegetation","***","$56,730","$60,440","$52,720","$64,250","High school diploma or equivalent"
="37-3019","Grounds Maintenance Workers, All Other","90","$57,570","$59,400","$43,840","$67,060","No formal educational credential"
="39-0000","Personal Care and Service Occupations","78,900","$38,210","$44,880","$33,070","$50,690","No formal educational credential"
="39-1013","First-Line Supervisors of Gambling Services Workers","410","$84,780","$80,650","$66,190","$87,770","High school diploma or equivalent"
="39-1014","First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","2,150","$54,520","$58,730","$41,870","$67,040","High school diploma or equivalent"
="39-1022","First-Line Supervisors of Personal Service Workers","1,870","$57,680","$56,330","$40,350","$64,200","High school diploma or equivalent"
="39-2011","Animal Trainers","350","***","***","***","***","High school diploma or equivalent"
="39-2021","Animal Caretakers","7,600","$35,890","$37,600","$32,980","$39,870","High school diploma or equivalent"
="39-3031","Ushers, Lobby Attendants, and Ticket Takers","2,420","$35,220","$35,260","$32,600","$36,570","No formal educational credential"
="39-3091","Amusement and Recreation Attendants","4,580","$33,490","$34,800","$31,350","$36,510","No formal educational credential"
="39-3092","Costume Attendants","80","$46,540","$53,610","$36,730","$61,920","High school diploma or equivalent"
="39-3093","Locker Room, Coatroom, and Dressing Room Attendants","270","$35,300","$37,250","$31,690","$39,990","High school diploma or equivalent"
="39-4021","Funeral Attendants","820","$43,690","$44,710","$35,760","$49,120","High school diploma or equivalent"
="39-4031","Morticians, Undertakers, and Funeral Directors","550","$47,570","$68,280","$40,940","$81,750","Associate's degree"
="39-5012","Hairdressers, Hairstylists, and Cosmetologists","9,880","$46,410","$52,360","$34,540","$61,140","Postsecondary non-degree award"
="39-5092","Manicurists and Pedicurists","5,560","$33,850","$35,200","$31,210","$37,170","Postsecondary non-degree award"
="39-5094","Skincare Specialists","790","$48,470","$52,480","$35,340","$60,930","Postsecondary non-degree award"
="39-6011","Baggage Porters and Bellhops","600","$39,410","$39,430","$33,920","$42,140","High school diploma or equivalent"
="39-6012","Concierges","960","$38,340","$42,990","$33,590","$47,630","High school diploma or equivalent"
="39-7010","Tour and Travel Guides","1,380","$37,730","$41,040","$31,950","$45,520","No formal educational credential"
="39-9011","Childcare Workers","13,030","$38,940","$40,600","$34,780","$43,470","High school diploma or equivalent"
="39-9031","Exercise Trainers and Group Fitness Instructors","9,280","$56,050","$57,360","$34,790","$68,470","High school diploma or equivalent"
="39-9032","Recreation Workers","9,690","$36,940","$40,540","$32,830","$44,340","High school diploma or equivalent"
="39-9041","Residential Advisors","4,720","$46,480","$47,580","$36,910","$52,840","High school diploma or equivalent"
="39-9099","Personal Care and Service Workers, All Other","350","$38,320","$42,520","$36,910","$45,290","High school diploma or equivalent"
="41-0000","Sales and Related Occupations","287,260","$40,160","$61,060","$33,340","$74,710","No formal educational credential"
="41-1011","First-Line Supervisors of Retail Sales Workers","23,290","$50,650","$57,210","$39,800","$65,790","High school diploma or equivalent"
="41-1012","First-Line Supervisors of Non-Retail Sales Workers","4,830","$110,340","$120,710","$68,180","$146,580","High school diploma or equivalent"
="41-2011","Cashiers","66,760","$33,980","$34,950","$31,960","$36,420","No formal educational credential"
="41-2012","Gaming Change Persons and Booth Cashiers","190","$36,500","$36,430","$31,200","$39,010","High school diploma or equivalent"
="41-2021","Counter and Rental Clerks","4,350","$43,430","$44,650","$34,880","$49,470","No formal educational credential"
="41-2022","Parts Salespersons","3,570","$39,300","$45,100","$34,760","$50,190","No formal educational credential"
="41-2031","Retail Salespersons","83,780","$35,890","$40,490","$32,880","$44,240","No formal educational credential"
="41-3011","Advertising Sales Agents","1,320","$72,170","$78,140","$49,420","$92,290","High school diploma or equivalent"
="41-3021","Insurance Sales Agents","10,000","$77,320","$100,590","$44,810","$128,070","High school diploma or equivalent"
="41-3031","Securities, Commodities, and Financial Services Sales Agents","13,610","$97,830","$110,510","$56,140","$137,290","Bachelor's degree"
="41-3041","Travel Agents","2,110","$50,380","$57,920","$42,040","$65,740","High school diploma or equivalent"
="41-3091","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","25,530","$76,840","$89,110","$48,860","$108,930","High school diploma or equivalent"
="41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","10,430","$99,680","$114,720","$60,020","$141,660","Bachelor's degree"
="41-4012","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","27,460","$75,120","$85,190","$47,300","$103,850","High school diploma or equivalent"
="41-9011","Demonstrators and Product Promoters","610","$37,660","$40,060","$32,260","$43,900","High school diploma or equivalent"
="41-9012","Models","30","$43,120","$42,350","$36,720","$45,120","No formal educational credential"
="41-9021","Real Estate Brokers","1,310","$126,970","$127,810","$54,750","$163,800","High school diploma or equivalent"
="41-9031","Sales Engineers","2,820","$123,850","$126,490","$81,790","$148,510","Bachelor's degree"
="41-9041","Telemarketers","760","$35,560","$39,400","$31,980","$43,050","No formal educational credential"
="41-9099","Sales and Related Workers, All Other","1,270","$37,840","$53,800","$35,040","$63,040","High school diploma or equivalent"
="43-0000","Office and Administrative Support Occupations","398,150","$50,440","$55,740","$38,600","$64,180","No formal educational credential"
="43-1011","First-Line Supervisors of Office and Administrative Support Workers","42,300","$74,410","$77,120","$51,780","$89,590","High school diploma or equivalent"
="43-2011","Switchboard Operators, Including Answering Service","970","$39,930","$42,500","$35,750","$45,830","High school diploma or equivalent"
="43-2021","Telephone Operators","130","***","***","***","***","High school diploma or equivalent"
="43-2099","Communications Equipment Operators, All Other","***","$53,200","$58,940","$47,630","$64,510","High school diploma or equivalent"
="43-3011","Bill and Account Collectors","2,690","$53,100","$55,180","$42,100","$61,620","High school diploma or equivalent"
="43-3021","Billing and Posting Clerks","8,150","$52,000","$54,210","$43,610","$59,430","High school diploma or equivalent"
="43-3031","Bookkeeping, Accounting, and Auditing Clerks","34,930","$54,890","$56,880","$41,490","$64,460","Some college, no degree"
="43-3051","Payroll and Timekeeping Clerks","3,190","$59,230","$61,730","$44,450","$70,240","High school diploma or equivalent"
="43-3061","Procurement Clerks","610","$53,770","$64,080","$43,420","$74,260","High school diploma or equivalent"
="43-3071","Tellers","7,840","$39,440","$41,790","$36,200","$44,550","High school diploma or equivalent"
="43-3099","Financial Clerks, All Other","440","$61,190","$69,340","$52,240","$77,760","High school diploma or equivalent"
="43-4011","Brokerage Clerks","590","$63,330","$65,880","$53,130","$72,170","High school diploma or equivalent"
="43-4021","Correspondence Clerks","20","$42,000","$47,620","$39,540","$51,600","High school diploma or equivalent"
="43-4031","Court, Municipal, and License Clerks","1,460","$60,510","$63,820","$44,410","$73,380","High school diploma or equivalent"
="43-4041","Credit Authorizers, Checkers, and Clerks","160","$50,960","$54,440","$47,880","$57,670","High school diploma or equivalent"
="43-4051","Customer Service Representatives","62,100","$47,340","$50,450","$36,440","$57,350","High school diploma or equivalent"
="43-4061","Eligibility Interviewers, Government Programs","1,800","$55,220","$55,820","$42,830","$62,220","High school diploma or equivalent"
="43-4071","File Clerks","790","$45,540","$50,480","$37,170","$57,030","High school diploma or equivalent"
="43-4081","Hotel, Motel, and Resort Desk Clerks","3,780","$37,950","$40,630","$35,350","$43,230","High school diploma or equivalent"
="43-4111","Interviewers, Except Eligibility and Loan","2,950","$47,460","$49,570","$39,760","$54,400","High school diploma or equivalent"
="43-4121","Library Assistants, Clerical","2,350","$42,040","$45,440","$32,570","$51,780","High school diploma or equivalent"
="43-4131","Loan Interviewers and Clerks","3,380","$51,270","$52,710","$41,150","$58,400","High school diploma or equivalent"
="43-4141","New Accounts Clerks","120","$50,270","$50,610","$46,360","$52,710","High school diploma or equivalent"
="43-4151","Order Clerks","1,400","$50,220","$51,620","$38,800","$57,930","High school diploma or equivalent"
="43-4161","Human Resources Assistants, Except Payroll and Timekeeping","1,160","$51,860","$55,530","$43,520","$61,440","Associate's degree"
="43-4171","Receptionists and Information Clerks","23,420","$39,080","$41,570","$33,760","$45,420","High school diploma or equivalent"
="43-4181","Reservation and Transportation Ticket Agents and Travel Clerks","1,530","$39,450","$42,770","$34,630","$46,780","High school diploma or equivalent"
="43-4199","Information and Record Clerks, All Other","1,220","$48,050","$51,670","$36,720","$59,040","High school diploma or equivalent"
="43-5011","Cargo and Freight Agents","760","$50,030","$53,380","$41,160","$59,400","High school diploma or equivalent"
="43-5021","Couriers and Messengers","***","$42,320","$42,510","$34,430","$46,480","High school diploma or equivalent"
="43-5031","Public Safety Telecommunicators","2,610","$56,760","$56,740","$44,410","$62,820","High school diploma or equivalent"
="43-5032","Dispatchers, Except Police, Fire, and Ambulance","2,630","$51,260","$56,270","$39,480","$64,540","High school diploma or equivalent"
="43-5041","Meter Readers, Utilities","520","$75,620","$71,090","$53,650","$79,690","High school diploma or equivalent"
="43-5051","Postal Service Clerks","2,110","$59,010","$59,920","$48,790","$65,400","High school diploma or equivalent"
="43-5052","Postal Service Mail Carriers","7,590","$60,440","$61,310","$45,290","$69,200","High school diploma or equivalent"
="43-5053","Postal Service Mail Sorters, Processors, and Processing Machine Operators","3,330","$54,450","$56,630","$42,310","$63,680","High school diploma or equivalent"
="43-5061","Production, Planning, and Expediting Clerks","6,100","$57,920","$60,040","$42,830","$68,520","High school diploma or equivalent"
="43-5071","Shipping, Receiving, and Inventory Clerks","17,260","$46,000","$47,300","$37,190","$52,270","High school diploma or equivalent"
="43-5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping","990","$47,460","$47,290","$39,250","$51,250","High school diploma or equivalent"
="43-6011","Executive Secretaries and Executive Administrative Assistants","19,750","$75,140","$77,590","$55,980","$88,240","High school diploma or equivalent"
="43-6012","Legal Secretaries and Administrative Assistants","3,550","$51,000","$60,450","$42,450","$69,320","High school diploma or equivalent"
="43-6013","Medical Secretaries and Administrative Assistants","20,010","$47,880","$49,360","$40,780","$53,590","High school diploma or equivalent"
="43-6014","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","34,600","$51,950","$54,770","$40,190","$61,950","High school diploma or equivalent"
="43-9021","Data Entry Keyers","2,190","$48,810","$48,350","$38,290","$53,300","High school diploma or equivalent"
="43-9022","Word Processors and Typists","380","$50,290","$50,680","$38,120","$56,870","High school diploma or equivalent"
="43-9031","Desktop Publishers","280","$54,800","$61,620","$40,700","$71,920","Associate's degree"
